	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79
ad_3dpi_1	-3.7397423	2.1002274	-0.87242234	-1.0730711	-1.8345268	1.619354	-4.579249	-1.1506734	-0.5351285	1.8936605	-0.2144019	2.7236328	-0.19178218	-0.7678445	0.38357878	-2.6338038	0.41819167	4.216902	2.7646759	-4.767892	0.68741816	3.997902	-0.11142683	1.693118	0.45151985	2.6767588	-2.0722106	-2.93738	0.391654	-2.9254224	0.5700615	2.1417985	0.44253027	-0.78363764	1.3470242	1.5081937	-1.0933996	0.6909771	-0.5379832	1.3408679	-0.5002098	-5.3255143	-1.247295	3.5838068	-0.73727	-2.0652497	-0.7867079	-1.9782933	0.33228403	0.9657095	-5.658019	-1.5791458	1.550421	-1.8993368	-2.735525	-0.47956276	-1.4562871	0.07677713	2.9437532	-1.629056	0.95371234	2.485444	2.0561275	0.43793523	1.413952	2.4471488	-0.6982428	0.021860957	-2.202841	0.36218035	0.9454584	1.917728	-5.2209525	0.9740669	0.63917017	-3.0916872	5.084149	3.627546	3.4246848	-0.41384298
ad_3dpi_2	-7.2962604	2.5461683	1.1674196	0.8292925	-1.5527836	0.768944	-3.238303	-3.4914742	-0.5868908	2.9132679	0.043287516	2.5155907	0.6241918	-0.59516007	-0.36217776	0.8387364	0.07819092	-6.817709	3.4517074	-4.5655155	0.17269006	2.5439641	-1.0130992	1.670404	-0.20400645	3.183596	-1.4770868	-0.6446209	-0.79453945	-1.1484594	1.0514548	2.077252	-0.33951506	0.49639982	-0.547146	1.3818752	-0.3307592	1.0577266	0.9159421	2.2056565	-0.050337464	-5.4565125	-1.9359125	-0.015795112	-1.4102362	0.93791544	-1.1496397	-1.1433133	1.2176948	0.116133824	-5.755373	0.59895563	-5.057639	-5.7952437	-3.3191733	-0.16583031	-0.78631806	0.24583194	1.6654454	-2.0377738	2.0122721	-1.0677551	3.5646849	-0.88319635	2.5473204	4.1791787	-0.15704179	0.5617536	-1.2211851	1.8643833	1.755757	-3.1293335	-2.9543877	1.4864857	-11.285968	1.1185881	-0.18529591	1.4293762	2.3902009	-1.2892
ad_6dpi_1	7.2498617	2.0448356	-0.052084744	3.1139235	-1.6356909	0.2946086	-2.966439	-2.6841621	1.1475453	3.429151	-0.98231554	1.55125	1.4899853	0.96070945	0.43716726	-2.8825	4.803266	1.5982004	0.043852925	-3.4910662	-0.6969987	2.5450583	-1.3742086	1.0753335	1.3426547	2.0838494	-1.2194753	-1.056849	-1.2617937	-0.18408516	-0.72563004	2.054369	0.8245938	1.1698515	-0.3605056	2.174411	-0.49306002	0.96305835	1.2240638	2.8339581	-2.2854795	-5.393036	-0.65618044	3.0831966	-0.15763408	-1.5784068	-1.3411579	-1.2180272	1.5036967	0.18309982	-4.662296	-0.27941018	1.0368518	0.12719348	-2.5047665	-0.6806283	-0.5843629	1.0228577	1.0788604	-2.757548	2.196329	-0.7464455	3.5104973	-0.07611418	2.0282633	2.0790012	-1.1462204	0.025007308	-1.9947515	0.034520328	1.7940886	0.7550163	-3.5293987	2.4622602	1.7398808	2.758297	5.4581017	-0.18497789	1.653399	-0.74006236
ad_6dpi_2	-2.198244	3.1510065	1.4781747	-0.73208004	-1.7263962	0.69158804	-5.9084053	-2.1693158	3.1099844	2.4060156	-1.5818962	2.1941392	2.298633	0.9770609	1.2896082	0.36140484	2.2222424	3.7754822	-0.10121703	-4.7096324	-1.2696466	1.3908694	4.179944	4.344518	1.0591516	2.5491478	-0.59245634	-1.2181218	-0.6996629	-1.5304035	3.6177826	1.9686168	0.22245342	-1.1589123	0.77335215	1.5046345	-0.97302884	0.19680116	-0.2725797	0.3393128	0.57147485	-4.847681	-1.3451515	-0.97540116	-1.620094	-2.9110413	-1.9624076	-1.5775826	2.585969	0.414524	-4.917398	-0.41652465	-1.5543118	0.22249717	-3.413967	0.31358314	0.23921776	0.8957876	3.7467122	-2.597962	2.3086705	-0.6226295	2.7030334	1.9145958	1.6393007	1.9463573	0.097412825	-1.3531942	-0.39081883	0.44031677	1.2360945	2.50889	-4.097489	1.1987004	4.6735353	-1.5135998	0.67910033	0.61299956	1.7366749	-0.34213972
ad_9dpi_1	0.15323806	2.5266206	-0.7048689	2.9763982	-1.5533941	-0.14564252	-2.2054553	-0.787103	0.61201715	1.3611147	0.47925425	-0.8930433	-1.1966345	-0.08017659	-0.45968115	-0.18540457	0.96444184	0.11713433	0.11257537	-2.457726	-0.7737145	2.592869	3.0230558	1.8636547	-0.09668815	1.7419865	-0.53200424	-0.011994481	-0.8066395	-0.20324972	-8.749962e-05	1.0717359	0.34863043	0.34783494	0.49509853	2.4431484	1.1506703	0.8564065	-1.4930844	1.8403685	-2.6990552	-3.5649135	-0.9967632	-0.8631582	-0.9594999	-0.986772	-1.7061231	-0.94501936	0.30706334	0.73824704	-4.782921	-0.5226952	-2.5544834	-0.85656977	-2.663218	-0.6925072	0.86812425	0.8856466	1.9203727	-2.019977	3.7577252	2.0757837	4.2099576	-0.1078794	1.0436033	3.297316	-1.4514532	-0.8143279	-0.6634191	-0.9471183	0.9903885	1.958868	-3.0066273	1.5460749	3.4951012	1.0886059	1.1095898	-0.0060997605	2.2437816	-0.4561358
ad_9dpi_2	1.2238691	2.9278922	-0.22124103	5.861197	-1.4333372	0.6103777	-2.2427151	-2.885502	0.8659129	3.8107164	1.7721817	0.32737848	0.84511924	0.33035913	-0.414742	-1.0662822	0.532847	0.62985957	0.45135057	-2.3480182	-0.24073532	1.4075296	0.044430137	2.9334426	-0.5178061	0.82709193	-1.3222882	5.5538816	-1.7351375	0.90501046	-0.591509	1.0308057	1.2116169	-1.2063146	0.14011005	0.7592162	-0.3974809	0.9607434	-0.5913534	-0.032135367	0.8908036	-3.67521	-2.4407663	-0.030958652	-0.8109696	0.3465966	-0.8095699	-1.705895	0.89896107	0.35441312	-4.326096	-1.0430217	-1.7383351	-0.79654837	-2.8768005	-1.4639761	-1.2934418	0.48410803	2.3103979	-2.6187966	2.1405334	0.4782528	1.7622811	0.46683654	3.1183128	2.5598702	0.21502887	-0.38625157	-1.324621	-1.5154833	1.1034005	2.2604294	-1.5741025	2.4258142	1.6447792	-0.90913993	-0.7672322	0.09207189	1.9755102	-1.2252405
as_ctrl_dro_dronema_1	-1.9192345	0.13758361	-0.65208596	0.13042957	14.447573	-2.0956438	2.7822893	-1.1021357	-0.8826894	-0.5269221	-0.5995923	0.05877608	-1.3817338	1.7450764	-1.3586047	0.5996553	-1.2748814	-0.36560655	-0.85325384	2.2846043	-0.9924059	-1.6650776	-0.30800557	-0.18995869	2.3471398	-0.33397996	0.32308447	-0.13701037	-0.08542305	0.9186866	0.13956797	-2.6704285	0.33669686	-0.3077923	-1.1019268	2.9204974	3.1453316	0.33282706	0.81144226	1.4574949	-0.98942786	1.478644	-2.5121827	0.07989192	0.27068913	0.91899395	0.8826839	1.5522461	-0.7212167	-0.3577396	3.5433514	2.3435433	0.6300759	1.0210862	4.0333185	0.040874273	1.9475361	0.6230332	-2.2801096	0.47614253	-1.3953391	-1.2534287	-2.96643	-1.6845498	-0.61390454	-2.887823	0.29763407	2.8210948	1.9954025	2.1936805	-0.26491386	0.9095551	2.6984355	-0.13208413	0.6017052	-1.2874949	-0.099482	1.0699677	0.004150033	1.3539884
as_ctrl_dro_dronema_2	-1.2397513	-1.4714983	0.6116648	1.562791	-0.67333007	-0.26521704	1.5199242	-1.9951179	-0.14878544	-2.1632922	0.66040933	1.5603602	1.1895903	1.4252561	0.6611141	-0.7404542	-1.0620524	-0.36287594	-1.4907146	0.5061823	-3.5131502	-2.0495274	-1.8237795	-1.0033314	0.88666284	-0.5457381	2.640482	0.49514097	1.1804004	-0.121634305	-1.4045178	-1.7871516	-0.27894276	1.1831925	-5.004121	1.3546848	-0.95836484	-0.039005548	0.4898175	-1.3299118	-0.66346115	-1.324346	0.40364558	0.37084275	0.08445193	-0.6726852	0.851019	1.8992872	1.1749997	-0.8761237	-0.0688259	0.6989905	-0.9348594	-2.259551	-0.23852171	-0.47141725	1.3674805	0.82875097	2.497228	0.13445038	-2.3348231	-3.633467	-0.09800589	-1.4384514	0.58378977	-1.3278697	2.4246578	2.5268693	2.0729542	-0.76813984	-1.3563132	0.18758191	2.5660143	-0.76984024	1.089045	-1.8078928	-0.16087101	-2.874271	-0.074003875	0.24174628
as_ctrl_dro_dronema_3	-1.4103575	-2.5694976	-0.6787763	0.14795285	14.685349	0.73597383	1.478018	4.6760902	-2.6651037	1.0379713	0.20976992	-1.354892	-0.3256448	0.50467634	-1.0974584	-0.62740266	-0.39174366	-0.37003952	-1.0786954	1.2044661	1.301973	-0.43792784	-2.254156	-1.845761	0.60487145	-1.5255879	-0.20546675	-1.9040987	1.1197666	0.3011216	-1.4649886	3.4007442	-2.4374826	-0.6807947	-5.2571983	-9.10315	0.40039003	-0.44122148	1.1064551	-3.3641815	-0.35575646	3.3856022	-0.76441693	0.4583924	-0.1453716	1.2783962	0.28571346	2.6701555	0.22712177	1.7171605	1.8608137	2.3626418	-1.119918	1.5593446	2.0898395	-0.7117758	-0.94085217	0.1869409	1.0471743	0.5286624	-1.3384067	-1.1863513	-3.7873929	1.8712709	-0.7265329	-1.4417385	0.64035904	0.6016569	1.4933008	-0.46103448	-0.6989447	-0.83550984	2.5932765	-1.6870766	0.7522814	-0.3414601	-0.102498055	0.51121706	-3.47541	-0.35596767
as_dronema_1	-0.46734303	-1.848275	0.44680882	0.21623763	-1.6110305	-0.43560362	2.012365	0.6852799	-0.291673	-0.2614261	0.058867678	0.7364788	1.0260864	-0.93746203	-1.4241266	-0.34621727	-1.0084242	0.085788816	-1.136179	2.8762603	-2.4409175	-2.5773764	-1.7337146	-0.82146096	0.4994353	0.9801937	-0.67794573	-0.08037831	-0.13911402	1.37238	-0.72291243	1.5895065	1.7027322	1.9187152	-2.0376313	-0.2626581	2.0595236	-2.1383352	-1.0483938	0.076146364	-0.100439966	1.294069	1.3277239	-0.4110174	1.0649271	1.1422204	1.0021311	1.8654692	0.39855587	-1.770116	1.0874104	0.6993706	-0.9317313	1.1671041	0.4526802	0.6506312	1.2259126	0.34043282	-1.3580272	3.2142572	-2.3729107	-2.53838	-2.2717981	0.04641556	-0.4217857	-3.5803976	1.8250597	2.3938231	0.3897292	2.653075	3.8783174	-0.39679593	3.4090195	-0.00554052	1.0342544	-1.0045588	-0.16348755	-0.28239584	-1.2058651	-0.17437798
as_dronema_2	-1.0151471	1.6576532	-1.044976	0.57964104	4.544246	0.96069217	0.63634324	-1.8679464	0.9452405	-1.7875371	-0.95282817	-0.12434727	0.35683084	0.9010315	1.2269605	-0.9152841	0.994388	1.0619386	-1.1927593	1.4254186	-2.385549	-1.0994887	-3.7521305	-0.80342877	1.2064826	-2.201995	1.7054255	0.4797392	1.2085661	0.36120966	1.9819157	0.419687	-0.0042283237	1.1714209	-0.3674934	-4.0740404	1.4860718	-1.3230808	1.0060109	-0.31573462	-0.16875371	1.0825388	-1.1273181	-0.1176393	0.50805324	1.6483502	1.8507533	0.8547069	-0.3369048	0.6673444	-0.4684477	3.1043038	-0.98772407	0.048385315	-0.3751045	-0.5608593	0.1501174	-0.38459575	-0.64452076	-1.5207512	-1.036245	-0.80101025	-0.8506131	0.33220524	-0.23302586	-3.3308563	2.272583	0.40520555	0.7811847	-1.7240566	0.524179	-1.1532817	1.5115366	-0.53216755	1.0646776	-1.3519828	-0.026626945	-0.89461875	-2.3268697	0.29308844
as_dronema_3	-0.8466983	2.702572	-0.16712663	0.6791016	14.094318	-1.0349952	2.0129874	-4.027789	-1.2817043	-1.9876578	-0.6572646	0.34732038	-0.43484646	-0.792043	0.7877114	-0.14593719	-0.5904267	-0.6698224	-0.5278138	2.340268	0.44194806	-0.6367204	0.0707165	-1.7340467	0.21609452	-0.6272733	2.8749104	0.3738417	1.0533355	-0.5102563	0.27484283	-3.121188	0.754907	0.2853204	-2.727109	-4.9988556	-0.88286066	-0.40727097	0.18725812	-0.8774376	0.4728036	-0.21012783	-1.5025679	0.6313839	0.33921623	0.9170853	-0.19005561	1.8924183	1.1452751	-0.27085194	1.6585541	1.1887225	-1.6446267	0.18242645	1.632029	1.5309024	1.5208163	0.9251051	-0.91922677	0.2625718	-1.7867861	-5.475553	-2.0873966	0.121075675	-0.94146645	-1.7160271	0.23756576	2.4350004	0.242823	0.0146954805	0.36534333	-0.6619762	1.7555625	-1.6645956	0.48057124	-1.4595811	-0.5004404	0.6943805	-1.7995784	0.70130223
as_dro_1	-1.644537	0.3872248	-1.0480748	1.075007	5.8020444	-0.36432296	3.760993	1.9540858	1.0990763	-1.0283084	-0.5614844	1.6920623	1.0485986	-1.6092274	-1.0984675	-0.09041041	0.56876934	-0.4404279	-0.23807597	0.8549973	-0.39043522	-1.3503913	-2.8327975	-1.4463941	1.171308	-0.0061500072	2.0594056	-1.128691	0.896654	1.4037292	-3.4806576	0.52041423	2.2679834	0.9165549	-1.8129913	-3.220613	0.9066099	-1.2787976	-0.31800947	-2.9211416	-0.40167803	4.7564983	1.5754532	-0.030771464	0.5054091	0.3152377	0.5910632	-0.40236998	1.2111646	-1.8511654	2.8719826	2.0487847	-0.9237913	0.30130166	1.4411209	1.6271954	0.82043564	-1.1192697	1.2198167	-1.7978148	-1.5195717	-2.299079	-1.9999642	-0.11523327	-0.028698027	-1.1873761	1.516262	0.87938243	-0.73991925	-0.8691689	-0.08383685	0.37558582	2.4597409	0.47906744	1.7480209	-0.98017085	0.55176735	0.97161466	-1.6734899	-0.30935317
as_dro_2	-1.3935972	-2.5027156	-0.92654216	0.4609478	0.52355397	1.7317961	2.1316438	-4.612771	-2.7225344	-0.18175006	0.053958908	1.0930761	-1.0772872	1.098741	1.4193633	0.645669	-0.5100638	-1.0127116	-1.8303037	3.110145	-0.57736695	-1.6795676	-0.0914762	0.79697704	0.8956835	-2.3602905	1.3057185	0.052149773	2.7748075	2.680263	2.2671633	-0.30525568	-0.22125053	0.3232426	-2.1303	-6.9001946	-0.6227666	-0.37306777	-0.31501234	-4.5820475	-0.12474847	0.19670606	-0.089668185	-0.4809266	1.0580552	0.5998124	1.0148145	-1.5481176	-1.5584035	-4.0215273	2.849274	2.6390722	-0.24915603	0.9496117	1.3375905	3.1399052	0.45275724	-1.481874	-1.4204493	3.0282693	-2.7720819	-2.5772872	-0.98128533	0.7035993	-0.51287377	-0.819155	-2.0406847	-0.34136808	1.5790896	-0.6772339	2.1048486	0.23160838	1.947553	0.18889004	0.72504306	-0.49299443	-0.8992177	0.99007577	0.42166233	0.34412476
as_dro_3	-1.1259185	-2.9081085	-0.35969472	0.3527781	5.195444	-2.2775435	5.563614	-3.4449868	0.7013949	-1.5050912	-1.5386908	0.010735214	1.5274649	0.0772908	-1.647681	1.1201874	-2.0058951	-0.14800806	-1.3675729	0.7601333	-3.2819877	-2.08843	-0.79502475	0.32374328	-0.045529425	-1.4391634	0.75180197	-2.6309247	0.7376619	2.0730963	-0.27598575	1.0407397	-0.5321195	3.554884	-0.60056037	7.9370217	1.3163302	-0.36781335	-0.91559476	1.0417747	-1.5123019	1.1718557	1.3755709	-0.6134779	1.2657425	2.116986	0.5305028	1.0339003	0.114938825	-0.19740021	2.4821606	-0.14446676	-0.124877706	0.80883116	-0.757098	-0.63977015	1.9926841	-0.061378106	-2.5787654	2.276166	-0.1535914	-3.2604766	-1.1490705	1.6490456	-0.15082578	-1.8571496	2.2800043	0.20136535	-0.84663945	1.8485037	-0.041484118	-1.0486517	0.7589531	0.32617643	0.77496743	-0.41731966	-0.5822778	1.1005089	-1.4567243	0.50968534
